iter	RMSE
262	414.1638865
263	414.0986759
264	413.9719252
265	413.8348563
266	413.5221737
267	413.5026836
268	413.1932738
269	413.070874
270	412.7483708
271	412.557247
272	412.4421653
273	412.1543997
274	412.0879336
275	411.8989383
276	411.8731482
277	411.7082789
278	411.4806586
279	411.3071566
280	411.2697348
281	411.0742301
282	410.9259607
283	410.9175632
284	410.7494376
285	410.6493539
286	410.4362149
287	410.1784488
288	410.088212
289	410.0226705
290	409.8594244
291	409.7078944
292	409.6335815
293	409.5641311
294	409.3550447
295	409.280239
296	409.2509909
297	409.1373436
298	409.0119399
299	408.922248
300	408.7783635
301	408.5703
302	408.5308422
303	408.2321588
304	408.0851098
305	407.982457
306	407.7428411
307	407.5834524
308	407.4624063
309	407.247489
310	407.2223116
311	407.2161899
312	407.1694904
313	406.9367007
314	406.8943132
315	406.8337278
316	406.6579003
317	406.3694942
318	406.2103192
319	405.9898123
320	405.7830545
321	405.7535797
322	405.5928766
323	405.4394266
324	405.2829519
325	405.2553083
326	405.1406588
327	405.1108818
328	405.0158303
329	404.9451027
330	404.8797601
331	404.8631604
332	404.6197673
333	404.5334512
334	404.4039663
335	404.2632982
336	404.2457049
337	404.1774263
338	404.1110892
339	404.0466222
340	403.9830003
341	403.883193
342	403.8792669
343	403.6863102
344	403.552278
345	403.4374105
346	403.1756947
347	403.0478337
348	403.0181945
349	402.8067807
350	402.7441221
351	402.6271425
352	402.4645895
353	402.3801433
354	402.1518081
355	402.0908618
356	401.8724264
357	401.8032407
358	401.6924984
359	401.6331881
360	401.5089164
361	401.4133844
362	401.2652079
363	401.0808445
364	401.0232167
365	400.9672222
366	400.7456294
367	400.6410693
368	400.5866661
369	400.4345901
370	400.2005289
371	400.0040445
372	399.8351079
373	399.782183
374	399.6164433
375	399.4452005
376	399.3216469
377	399.2713033
378	399.1237488
379	398.9769306
380	398.8040552
381	398.7539024
382	398.7051218
383	398.475046
384	398.3235449
385	398.1819593
386	398.1345024
387	398.043417
388	397.8089808
389	397.4871278
390	397.1986353
391	397.1522244
392	397.131064
393	397.0735807
394	396.9370507
395	396.8765262
396	396.8302544
397	396.7530201
398	396.7080107
399	396.6139916
400	396.5258325
401	396.4970365
402	396.2338051
403	396.0304679
404	395.9130578
405	395.7901904
406	395.6738197
407	395.4890036
408	395.2012346
409	395.0320735
410	395.0249141
411	394.8333696
412	394.6854624
413	394.6512894
414	394.5416529
415	394.3658725
416	394.2258883
417	393.9913107
418	393.8702662
419	393.8307106
420	393.6934077
421	393.4830246
422	393.3711727
423	393.2637926
424	393.1522341
425	392.9400958
426	392.7812184
427	392.7291454
428	392.5589347
429	392.3150833
430	392.1854696
431	392.0533627
432	391.8659231
433	391.6930329
434	391.4830137
435	391.4050922
436	391.2283113
437	391.0149029
438	390.9230434
439	390.844611
440	390.6683284
441	390.5433744
442	390.3541714
443	390.2046149
444	390.0914204
445	389.926321
446	389.6386465
447	389.5256344
448	389.3960022
449	389.3222541
450	389.1340146
451	388.9825208
452	388.9326905
453	388.7293367
454	388.5963428
455	388.4041664
456	388.238694
457	388.0022305
458	387.8708453
459	387.8557669
460	387.671753
461	387.5962964
462	387.4543115
463	387.3826601
464	387.1361775
465	386.9027755
466	386.7649491
467	386.6959481
468	386.5864231
469	386.4314088
470	386.2836701
471	386.1718642
472	386.0529087
473	385.8304105
474	385.7852331
475	385.6845411
476	385.5675791
477	385.3190354
478	385.1556213
479	385.1116339
480	385.0131805
481	384.8736451
482	384.8264369
483	384.6829588
484	384.5647418
485	384.4575162
486	384.390745
487	384.253432
488	384.1535495
489	384.0425337
490	383.9703286
491	383.8195834
492	383.6385108
493	383.5371643
494	383.4090597
495	383.2781347
496	383.1447566
497	383.1207282
498	383.0980204
499	382.9557479
500	382.8894508
501	382.7755288
502	382.6496102
503	382.5743292
504	382.4749522
505	382.3442704
506	382.325337
507	382.1325689
508	381.9467957
509	381.941713
510	381.803373
511	381.7965018
512	381.696396
513	381.5201366
514	381.4725529
515	381.3776824
516	381.203823
517	380.9539093
518	380.8608267
519	380.7095838
520	380.5938745
521	380.4659363
522	380.4512433
523	380.4443515
524	380.4029151
525	380.3607437
526	380.2489944
527	380.1874925
528	380.0867243
529	379.9807599
530	379.8865455
531	379.8802734
532	379.7777175
533	379.7365533
534	379.661767
535	379.5722222
536	379.2917119
537	379.1137182
538	378.9150399
539	378.9050012
540	378.7560416
541	378.6692698
542	378.5937587
543	378.5877524
544	378.3690676
545	378.2259952
546	377.9473067
547	377.7824089
548	377.578947
549	377.4126241
550	377.306676
551	377.1734787
552	377.0394158
553	377.0051975
554	376.8572754
555	376.7062583
556	376.6717746
557	376.4803058
558	376.4099999
559	376.2557201
560	376.1108591
561	375.9355388
562	375.8532463
563	375.8369799
564	375.5706681
565	375.4885379
566	375.3638662
567	375.2348841
568	375.1086882
569	374.9762723
570	374.9630157
571	374.8316742
572	374.6547556
573	374.5600661
574	374.4999546
575	374.3602394
576	374.246208
577	374.0506802
578	373.9625403
579	373.8756053
580	373.805051
581	373.7206419
582	373.6639521
583	373.4988044
584	373.4238125
585	373.3426571
586	373.2851917
587	373.1916312
588	373.1402481
589	372.8865477
590	372.7427139
591	372.593836
592	372.581779
593	372.5015242
594	372.3477817
595	372.2301053
596	372.0621567
597	371.9313225
598	371.8435607
599	371.7288219
600	371.5750777
601	371.4542371
602	371.2704881
603	371.1438975
604	370.9922307
605	370.8621122
606	370.7970024
607	370.6865084
608	370.5538129
609	370.4266997
610	370.3388792
611	370.3297595
612	370.3169838
613	370.1941064
614	370.0573703
615	369.9868206
616	369.8669033
617	369.83144
618	369.7146537
619	369.594853
620	369.4608006
621	369.3489752
622	369.3446831
623	369.3188363
624	369.2374164
625	369.1853626
626	369.1785637
627	369.0809939
628	369.0742736
629	368.9329177
630	368.8193026
631	368.6694197
632	368.4894022
633	368.3265642
634	368.1938222
635	368.0418314
636	367.949034
637	367.8253058
638	367.7349798
639	367.6888788
640	367.6072186
641	367.4737796
642	367.3505007
643	367.2806019
644	367.1910058
645	367.0655755
646	366.9184348
647	366.8371649
648	366.6375517
649	366.5547803
650	366.4263039
651	366.3234867
652	366.1638951
653	366.0556234
654	365.9975166
655	365.9191152
656	365.8123035
657	365.7578699
658	365.6132859
659	365.6100663
660	365.5041562
661	365.4119186
662	365.3143631
663	365.2080313
664	365.1421779
665	365.1323067
666	365.1273118
667	365.0908133
668	365.0851964
669	364.9566517
670	364.7738464
671	364.6729261
672	364.5226663
673	364.4797262
674	364.4529392
675	364.3746068
676	364.3069292
677	364.2524019
678	364.2222006
679	364.137504
680	364.0331742
681	363.9727625
682	363.9589378
683	363.8633721
684	363.6647702
685	363.5894216
686	363.4475172
687	363.4378388
688	363.2779286
689	363.135897
690	362.948968
691	362.783909
692	362.7028251
693	362.6671259
694	362.5330249
695	362.4260006
696	362.3841249
697	362.3701292
698	362.2681198
699	362.2654776
700	362.1949959
701	362.0797469
702	361.9620017
703	361.8903276
704	361.7580261
705	361.5437938
706	361.445437
707	361.3050169
708	361.280164
709	361.1379487
710	361.0085914
711	360.9677788
712	360.855801
713	360.7996977
714	360.6681418
715	360.5716194
716	360.4463539
717	360.4171181
718	360.3586403
719	360.3123481
720	360.1785748
721	360.135533
722	360.0292323
723	359.9755843
724	359.8984325
725	359.8274678
726	359.7875205
727	359.6724919
728	359.6523487
729	359.5644477
730	359.551319
731	359.499961
732	359.3526238
733	359.3239033
734	359.2424541
735	359.2354211
736	359.1624928
737	359.0091678
738	359.0050034
739	358.9408306
740	358.9136469
741	358.7855756
742	358.7127801
743	358.6371151
744	358.5551731
745	358.4715465
746	358.3996903
747	358.3555712
748	358.2288251
749	358.1330555
750	358.0781359
751	357.9906866
752	357.8582589
753	357.7867058
754	357.715299
755	357.6245221
756	357.5201096
757	357.3687791
758	357.2786285
759	357.1525627
760	357.0256322
761	356.9946287
762	356.8756635
763	356.8688495
764	356.8071892
765	356.7009633
766	356.661946
767	356.5577952
768	356.5198627
769	356.5138841
770	356.4770112
771	356.3743558
772	356.3063284
773	356.2109035
774	356.1060016
775	356.0420645
776	355.983438
777	355.9173454
778	355.8451775
779	355.726903
780	355.613418
781	355.5493433
782	355.5095951
783	355.3906617
784	355.3796384
785	355.2897666
786	355.0851643
787	354.9605685
788	354.7972202
789	354.7405258
790	354.6112587
791	354.5525154
792	354.3614928
793	354.2800237
794	354.1626192
795	354.0066935
796	353.8917573
797	353.7999358
798	353.6688329
799	353.5787877
800	353.4985252
801	353.433427
802	353.354467
803	353.2304542
804	353.136069
805	353.0061412
806	352.9089887
807	352.781187
808	352.7372769
809	352.6559189
810	352.6032663
811	352.5886641
812	352.5787913
813	352.4806895
814	352.3092807
815	352.2656146
816	352.1579914
817	352.0359347
818	351.97518
819	351.8955065
820	351.7577275
821	351.6644554
822	351.6070461
823	351.5413184
824	351.519517
825	351.4325732
826	351.3684713
827	351.2273081
828	351.1664423
829	351.1299104
830	351.0091111
831	350.9263464
832	350.873796
833	350.7896926
834	350.6920083
835	350.6141512
836	350.567911
837	350.489049
838	350.4422558
839	350.4139842
840	350.3482257
841	350.3103482
842	350.284627
843	350.2598229
844	350.2370753
845	350.0891181
846	350.0275156
847	349.9365904
848	349.8297711
849	349.7870043
850	349.6909566
851	349.6344672
852	349.5704122
853	349.5111069
854	349.4564204
855	349.3697124
856	349.3021932
857	349.2109168
858	349.2074547
859	349.1044401
860	348.9709776
861	348.8755705
862	348.797354
863	348.7404136
864	348.6022663
865	348.5688142
866	348.5012163
867	348.4342814
868	348.376676
869	348.2978655
870	348.1959677
871	348.1111779
872	348.0532944
873	347.9499472
874	347.8121913
875	347.722621
876	347.613994
877	347.5799651
878	347.5128888
879	347.4884257
880	347.4146373
881	347.3832773
882	347.378735
883	347.3243618
884	347.1791438
885	347.058367
886	347.0179072
887	346.9437688
888	346.940528
889	346.8866754
890	346.7576428
891	346.646518
892	346.5490291
893	346.4830849
894	346.4780449
895	346.4721028
896	346.3975077
897	346.3283482
898	346.227909
899	346.1792129
900	346.068172
901	345.963594
902	345.8297508
903	345.7346327
904	345.6610613
905	345.5877728
906	345.5488188
907	345.4535862
908	345.333105
909	345.2212649
910	345.1278267
911	345.0314008
912	344.9686956
913	344.869143
914	344.7675512
915	344.6981148
916	344.5918801
917	344.5205886
918	344.4676953
919	344.3458106
920	344.2297481
921	344.1819616
922	344.0799092
923	344.0641169
924	343.9587686
925	343.8404132
926	343.7590706
927	343.6898658
928	343.6602157
929	343.6567239
930	343.5215736
931	343.4260346
932	343.3716727
933	343.2945532
934	343.2800663
935	343.2321175
936	343.1639369
937	343.0301677
938	342.913204
939	342.8410174
940	342.7858271
941	342.7528999
942	342.668239
943	342.592471
944	342.5340876
945	342.4978929
946	342.4029214
947	342.3511377
948	342.2999167
949	342.2434131
950	342.2081297
951	342.1266717
952	342.0281252
953	341.9938164
954	341.8381258
955	341.804701
956	341.7106287
957	341.6929647
958	341.6221306
959	341.5078192
960	341.4762031
961	341.3565097
962	341.2723735
963	341.1821264
964	341.0820144
965	341.0038286
966	340.9957829
967	340.9287773
968	340.8140789
969	340.7487704
970	340.6538322
971	340.6222413
972	340.5199563
973	340.4892008
974	340.4044625
975	340.3863893
976	340.356546
977	340.3207421
978	340.200808
979	340.1717744
980	340.1069662
981	340.0377596
982	340.0341239
983	339.9207131
984	339.8138625
985	339.7856273
986	339.7195225
987	339.6449736
988	339.6274296
989	339.5999188
990	339.5241074
991	339.4973351
992	339.4175999
993	339.3871761
994	339.3611202
995	339.3573699
996	339.2891184
997	339.2277269
998	339.1645715
999	339.1391899
